ID,post_title,NEW TITLE
111,WL_scal2frq,WL_scal2frq
113,WL_coeffs,WL_coeffs
114,WL_dwtcoeff,WL_dwtcoeff
132,WL_fBM,WL_fBM
165,TSTL_delaytime,TSTL_delaytime
167,TSTL_localdensity,TSTL_localdensity
10431,TSTL_predict,TSTL_predict
90,CO_acfshape,CO_AutoCorrShape
103,CO_ami_fmin,CO_CompareMinAMI
104,CO_ami_noise,CO_AddNoise
