SourceName,SourceLink,SourceDescription,ProcessingNotes,Added by,Distribute,Parent
Sprott 3D Flow D Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow E Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow F Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow G Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200
Actually I couldn't get attraction onto a chaotic regime; these are all periodic, trajectories appear to be on a normal attractor.",Ben Fulcher,1
Sprott 3D Flow H Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow I Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow J Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow K Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1
Sprott 3D Flow L Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1,
Sprott 3D Flow M Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1,
Sprott 3D Flow N Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=200",Ben Fulcher,1,
Sprott 3D Flow O Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=201",Ben Fulcher,1,
Sprott 3D Flow P Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=201",Ben Fulcher,1,
Sprott 3D Flow Q Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=201",Ben Fulcher,1,
Sprott 3D Flow R Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=201",Ben Fulcher,1,
Sprott 3D Flow S Ben,,,"Initial condition x=0.05, y=0.05, z=0.05
Initial transient removed: eta=201",Ben Fulcher,1,
Sprott Jerk Systems Ben,,,"All time series from this source use the corresponding equation defined by the function F_sprottJDi.m
where i is an integer 0-7 labeling the equation, as in the table
Tolerance is set fo 10^-7
Transient is removed by removing the first 200 'seconds'
Lengths range from L = [300 1000 4000]
Samplings range from N = [1000 5000 10000] points",Ben Fulcher,1,
Sprott Noninvertible Maps Ben,"Described in Appendix A.1 of his book: Sprott, Chaos and Time-Series Analysis (book), Oxford University Press (2003)",,,Ben Fulcher,,
Sprott Logistic Map Ben,,,"L=[300 1000 5000]
A motivated by the values used in Rezek, and also
includes the normal A=4 suggested in Sprott
Transient removed: eta=100
IC: x=0.1",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Tent Map Ben,,,"We move around -- A [1.8:0.02:2], all of which are chaotic
NB: we use 1.999999 instead of 2, for reasons stated in the book
L=[300 1000 5000]
IC: 1/sqrt(2)
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott linear congruential generator Ben,,,"We use the nominal A=7141, B=54773, C=259200
L=[300 1000 5000]
IC: x0=[0:0.1:1]
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Cubic Map Ben,,,"We look around A=[2.4:0.05:3]
L=[300 1000 5000]
IC: x=0.1
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Ricker Ben,,,"We look around A=[15:30]
There are some periodic windows in this range
L=[300 1000 5000]
IC: x=0.1
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Gauss map Ben,,,"L=[300 1000 5000]
ICs: took random numbers from a Gaussian distribution (rounded to 3 decimal places)
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Cusp map Ben,,,"A=[1.90 1.95 2.00]
L=[300 1000 5000 10000]
ICs: took uniformly distributed random numbers (rounded to 2 decimal places) between [0,1]
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Gaussian white chaotic map Ben,,,"L=[300 1000 5000 10000 20000]
ICs: took uniformly distributed random numbers (rounded to 2 decimal places) between [0,1]
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Pinchers Map Ben,,,"L=[300 1000 5000 10000]
s=[1.9 2 2.1]
c=[0.4:0.05:0.6]
IC: x(1)=0
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Spence Map Ben,,,"L=[300 1000 5000 10000]
IC: x(1) is a uniformly distributed random between [0,1]
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Sine-Circle Map Ben,,,"L=[300 1000 5000 10000]
IC: x(1) is a uniformly distributed random between [0,1]
K=2 (nominal)
Omega=0.5 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Noninvertible Maps Ben
Sprott Dissipative Maps Ben,"Described in Appendix A.2 of his book: Sprott, Chaos and Time-Series Analysis (book), Oxford University Press (2003)",,,Ben Fulcher,1,
Sprott Henon Map Ben,,,"L=[300 1000 5000 10000]
IC: xi [0 0.1] yi [0.8 0.9]
a=1.4, b=0.3 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Lozi Map Ben,,,"L=[300 1000 5000 10000]
IC: xi [-0.2 -0.1] yi [0.1 0.15]
a=1.7, b=0.5 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Delayed Logistic Map Ben,,,"L=[300 1000 5000 10000]
IC: xi=0.001,  yi=[0.001 0.002]
A=2.27 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Tinkerbell map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[0 0.05 0.1],  yi=[0.4 0.45 0.5]
a=0.9, b=-0.6, c=2, d=0.5 (all nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Burgers map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[-0.2 -0.1],  yi=[0.1 0.2]
a=0.75, b=1.75 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Holmes cubic map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[1.6 1.7 1.8],  yi=[0]
b=0.2, d=2.77 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Kaplan Yorke map Ben,,,"L=[300 1000 5000 10000]
IC: xi=1/sqrt(2),  yi=-0.4; (usual)
a=1.99999999, b=0.2 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Dissipative Standard Map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[0.05 0.1 0.2],  yi=[0.05 0.1 0.2];
b=0.1, k=8.8 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Ikeda Map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[0 0.05 0.1],  yi=0;
alpha=6, beta=0.4, gamma=1, mu=0.9 (nominal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Sinai Map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[0.5 0.55],  yi=[0.5 0.55];
delta [0.08 0.10 0.12]
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Discrete Predator-Prey Map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[0.5 0.55],  yi=[0.5 0.55];
r=3, K=1, alpha=5 (normal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Dissipative Maps Ben
Sprott Conservative Maps Ben,"Described in Appendix A.3 of his book: Sprott, Chaos and Time-Series Analysis (book), Oxford University Press (2003)",,,Ben Fulcher,,
Sprott Chirikov Map Ben,,,"L=[300 1000 5000 10000 20000]
IC: xi=[0 0.1 0.2],  yi=[6 6.1 6.2];
k=1
Transient removed: eta=100",Ben Fulcher,1,Sprott Conservative Maps Ben
Sprott Henon area-preserving quadratic map Ben,,,"L=[300 1000 5000 10000]
IC: xi=0.6, yi=0.13;
alpha=cos^{-1},0(0.24)
Transient removed: eta=100",Ben Fulcher,1,Sprott Conservative Maps Ben
Sprott Arnold's Cat Map Ben,,,"L=[300 1000 5000 10000]
IC: xi=0, yi=1/sqrt(2) (normal)
k=2 (normal)
Transient removed: eta=100",Ben Fulcher,1,Sprott Conservative Maps Ben
Sprott Gingerbreadman Map Ben,,,"L=[300 1000 5000 10000 20000 40000]
IC: xi=[0.50 0.51 0.52 0.53 0.54], yi=3.7;
Transient removed: eta=100",Ben Fulcher,1,Sprott Conservative Maps Ben
Sprott Chaotic Web Map Ben,,,"L=[300 1000 5000 10000 20000 40000 60000] % still not stationary even on this large timescale!
IC: xi=0, yi=[2.98 2.99 3.00 3.01 3.02];
Transient removed: eta=100",Ben Fulcher,1,Sprott Conservative Maps Ben
Sprott Lorenz 3D chaotic map Ben,,,"L=[300 1000 5000 10000]
IC: xi=[0.5 0.51], yi=[0.5 0.51], zi=[-1.0 -0.99]
Transient removed: eta=100",Ben Fulcher,1,Sprott Conservative Maps Ben
Cao's Periodic Map Ben,,,To show his method for determining the dimension he uses this four-dimensional system,Ben Fulcher,1,
Ben Random coefficient AR simulations,,,"Created using *aringabout.m* with random initial conditions [-5,5] and random AR coefficients [0,1]
Transient removed: first 100
Variable order, from p=2:10
Variable magnitude of additional noise eta=[0:0.2:1]*randn(L)
Variable length: from L=[500 1000 5000 7500]
5 iterations through, saving the sensible looking ones, by eye (i.e., not those that blow up or shrink rapidly to zero, as occurs in the absence of noise)",Ben Fulcher,1,
Ben MA simulations,,,"I have implemented the same format with different orders (p)
and a range of  coefficients, instead of the 0.6 and 0.1 he uses
The coefficients are taken from a uniform random distribution from -1 to 1
L=[500 1000 5000 7500]
10 instances of each order/length with different random coefficients
Code is *armappingabout.m*",Ben Fulcher,1,
Ben simulate like MIX(P),,,"Anyway, we do use uniformly distributed noise, on the interval
[-1 1] corrupting with probability p the sine wave sin(x/10) for x=1:L
L=[1000 5000].
p=[0.1:0.1:0.9]
Implemented using *MIXP.m*",Ben Fulcher,1,
Sprott's Driven Dissipative Flows,"Described in Appendix A.4 of his book: Sprott, Chaos and Time-Series Analysis (book), Oxford University Press (2003)",,,Ben Fulcher,1,
Sprott Damped driven pendulum Ben,,,"b=0.05 A=0.6 Omega=0.7
x0=[0 0.1 0.2], y0=[0 0.1 0.2]
L = [300 1000 5000 10000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott Driven van der Pol oscillator Ben,,,"b=3, A=5, Omega=1.788
x0=[-1.9 -1.7], y0=[0 0.2]
L = [300 1000 5000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott Shaw-van der Pol oscillator Ben,,,"b=1, A=1, Omega=2
x0=[1.3 1.4], y0=[0 0.1]
L = [300 1000 5000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott Forced Brusselator Ben,,,"a=0.4, b=1.2, A=0.05, Omega=0.8
x0=0.3, y0=2
L = [300 1000 5000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott Ueda Oscillator Ben,,,"b=0.05, A=7.5, Omega=1
x0=2.5, y0=0
L = [300 1000 5000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott Duffing two-well oscillator Ben,,,"b=0.25, A=0.4, Omega=1
x0=[0.2 0.25 0.3], y0=0
L = [300 1000 2000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott Duffing-van der Pol Oscillator Ben,,,"mu=0.2, gamma=8, A=0.35, Omega=1.02
x0=[0.2 0.25], y0=[-2.5 -2]
L = [300 1000 2000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott Rayleigh-Duffing Oscillator Ben,,,"mu=0.2, gamma=4, A=0.3, Omega=1.1
x0=[0.3 0.35 0.4], y0=[0]
L = [300 1000 2000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Driven Dissipative Flows
Sprott's Autonomous dissipative flows,"Described in Appendix A.5 of his book: Sprott, Chaos and Time-Series Analysis (book), Oxford University Press (2003)",,,Ben Fulcher,1,
Sprott Lorenz Attractor Ben,,,"sigma=10, r=28, b=8/3
x0=[0], y0=[-0.01], z0=[9 9.1]
L = [250 500 1000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Rossler Attractor Ben,,,"a=b=0.2, c=5.7
x0=[-9.1 -9], y0=[0], z0=[0]
L = [250 1000 2000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Diffusionless Lorenz Attractor Ben,,,"R=1
x0=[1 1.1], y0=[-1.1 -1], z0=[0.01]
L = [250 1000 2500]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Complex Butterfly Ben,,,"a=0.55
x0=[0.2], y0=[0], z0=[0]
L = [2000 5000 10000]
N = [5000 10000 20000]
Transient removed: eta=100
ODE45, tolerance 10^-6
NB: there are some long-timescale fluctuations in this system. I have tried to use long time series accordingly, but even still, it runs out of memory for when I tried L20000. Maybe try a stiff solver*** rather than ode45",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Chen's system Ben,,,"a=35, b=3, c=28
x0=[-10], y0=[0], z0=[37]
L = [100 250 500]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Hadley circulation Ben,,,"a=0.25, b=4, F=8, G=1
x0=[0], y0=[0], z0=[1.3]
L = [25 50 100]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6
Rounding Errors: since the variation is on a very small length scale.
Had to subtract mean, multiply by 1E6 and then add mean again.",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott ACT attractor Ben,,,"alpha=1.8, beta=-0.07, delta=1.5, mu=0.02
x0=[0.5], y0=[0], z0=[0]
L = [100 250 1000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Rabinovich-Fabrikant attractor Ben,,,"gamma=0.87, alpha=1.1
x0=[-1], y0=[0], z0=[0.5]
L = [100 250 1000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Chua's circuit Ben,,,"alpha=9, beta=100/7, a=8/7, b=5/7
x0=[0], y0=[0], z0=[0.6]
L = [250 500 1000 2000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Moore-Spiegel oscillator Ben,,,"T=6, R=20
x0=[0.1], y0=[0], z0=[0]
L = [100 250 500 750]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Thomas' cyclically symmetric attractor Ben,,,"b=0.18
x0=[0.1], y0=[0], z0=[0]
L = [1000 2500 5000 10000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Halvorsen's cyclically symmetric attractor Ben,,,"a=1.27
x0=[-5], y0=[0], z0=[0]
L = [100 500 1000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott Rucklidge attractor Ben,,,"kappa=2, lambda=6.7
x0=[1], y0=[0], z0=[4.5]
L = [100 500 1000 2000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
Sprott WINDMI attractor Ben,,,"a=0.7, b=2.5
x0=[0], y0=[0.8], z0=[0]
L = [200 500 1000 2000 4000]
N = [1000 5000 10000]
Transient removed: eta=100
ODE45, tolerance 10^-6",Ben Fulcher,1,Sprott's Autonomous dissipative flows
