CategoryName,Description,Parent
Air pressure,"Measured pressure of the air (e.g., using a barometer)",Meteorology
Oceanography,,Real-world
Zooplankton,,Oceanography
Atmospheric water droplet density,,Meteorology
Teleconnections,"""Teleconnections"" are global climate anomalies related to each other at large distances.",Meteorology
Sea level,,Meteorology
Opening prices,,Finance
High low,,Finance
Traded volume,,Finance
Oil stocks,"Barrels of oil in reserves, I guess",Finance
Economics,,Real-world
Gas prices,,Economics
Crude oil prices,,Economics
Cognitive Science,,Real-world
Human recall,Human recall data,Cognitive Science
Audio,,Real-world
Human speech,,Audio
Music,,Audio
Sound effects,,Audio
Text,,Real-world
Industry,,Real-world
Emissions,,Industry
Ice core temperature,Isotopic temperature record derived from ice cores,Meteorology
Cloud height,Height above ground of the base of the lowest cloud.,Meteorology
Humidity deficit,Also saturation deficiency. The difference between the saturation vapor pressure and the actual water vapor pressure at a given temperature and pressure.,Meteorology
Low cloud amount,"Low cloud amount, estimated visually by an observer as a proportion of the sky",Meteorology
Pressure tendency,The absolute difference between the current air pressure at the station and that which was observed 3 h before.,Meteorology
Soil temperature,Soil surface temperature,Meteorology
Cloud cover,"Total cloud amount, estimated visually by an observer as a proportion of the sky",Meteorology
Dew point,"The dew point temperature is defined as the temperature to which moist air must be cooled, with air pressure and water vapor pressure held constant, in order that it just reach saturation with respect to the water in the air.  It can be measured by a psychrometer.",Meteorology
Vapour pressure,The water vapor pressure is the partial pressure of the water vapor contained in the air.,Meteorology
Horizontal visibility,"The horizontal visibility is defined as the maximum distance at which an absolutely black body of rather large angular dimensions (over 15 angular min) can be distinguished against the background of the sky in daylight, or the distance at which an unfocused light source of a given intensity becomes indistinguishable at night",Meteorology
Wind direction,The direction the wind is blowing,Meteorology
Wind speed,The speed of the wind,Meteorology
Ozone,,Astrophysics
Animal sounds,Audio of animal noises,Audio
Postural sway,,Medical
Tremor velocity,,Medical
Geoscience,,Real-world
Seismic,,Geoscience
Earthquake,,Seismic
Explosion,,Seismic
RR,Intervals between successive heart beats (R in QRS complexes),Medical
Noisy sinusoids,,Stochastic
Powerlaw noise,Powerlaw-correlated noise processes,Correlated Noise
Fetal heart rate,,Medical
Biochemistry,,Real-world
Birdsong,Audio recordings of bird noises,Animal Sounds
Nonstationary autoregressive,,Correlated Noise
Faes nonlinear AR process,,Synthetic
Mood self-ratings,,Sociological
Sociological,,Real-world
